time,temperature,humidity,pressure,wind_speed,pm2_5,pm10,no2,temp_24h_ma,pm2_5_24h_ma,date,hour
2026-09-24 00:00:00,26.9,83,982.2,2.9,65.9,91.3,34.6,26.9,65.9,2026-09-24,0
2026-09-24 01:00:00,26.7,83,982.6,2.6,63.6,83.6,33.9,26.799999999999997,64.75,2026-09-24,1
2026-09-24 02:00:00,27.2,82,983.6,9.5,61.7,77.5,32.8,26.933333333333334,63.73333333333334,2026-09-24,2
2026-09-24 03:00:00,28.3,80,984.0,8.4,50.8,63.8,29.9,27.275,60.5,2026-09-24,3
2026-09-24 04:00:00,29.6,73,984.5,10.2,39.5,48.8,23.8,27.74,56.3,2026-09-24,4
2026-09-24 05:00:00,30.8,67,984.8,8.0,37.1,45.6,16.0,28.25,53.1,2026-09-24,5
2026-09-24 06:00:00,32.6,50,984.1,6.8,37.6,46.8,10.1,28.87142857142857,50.885714285714286,2026-09-24,6
2026-09-24 07:00:00,33.6,44,983.3,5.6,38.2,48.0,7.3,29.4625,49.300000000000004,2026-09-24,7
2026-09-24 08:00:00,34.2,42,982.2,3.1,37.8,51.8,6.4,29.988888888888887,48.02222222222222,2026-09-24,8
2026-09-24 09:00:00,34.7,39,981.1,2.0,39.6,51.7,7.6,30.46,47.18,2026-09-24,9
2026-09-24 10:00:00,35.0,36,980.3,2.5,38.5,51.7,11.6,30.872727272727275,46.39090909090909,2026-09-24,10
2026-09-24 11:00:00,34.6,36,979.7,5.7,38.4,49.1,17.6,31.183333333333334,45.725,2026-09-24,11
2026-09-24 12:00:00,33.4,41,979.8,7.9,40.7,48.4,23.3,31.353846153846156,45.33846153846154,2026-09-24,12
2026-09-24 13:00:00,31.3,56,980.5,11.7,45.1,52.7,28.5,31.35,45.32142857142857,2026-09-24,13
2026-09-24 14:00:00,30.2,64,981.7,9.9,45.1,54.6,33.5,31.273333333333333,45.306666666666665,2026-09-24,14
2026-09-24 15:00:00,29.9,65,982.6,8.9,42.6,56.7,36.5,31.1875,45.1375,2026-09-24,15
2026-09-24 16:00:00,29.4,66,983.0,8.4,40.2,60.8,36.6,31.08235294117647,44.84705882352941,2026-09-24,16
2026-09-24 17:00:00,28.7,68,983.3,8.6,38.8,64.3,34.7,30.950000000000003,44.51111111111111,2026-09-24,17
2026-09-24 18:00:00,28.1,70,983.1,8.6,36.6,65.2,32.0,30.8,44.09473684210527,2026-09-24,18
2026-09-24 19:00:00,27.4,74,982.9,8.5,32.9,65.0,28.0,30.630000000000003,43.535000000000004,2026-09-24,19
2026-09-24 20:00:00,26.7,77,982.2,8.8,30.6,66.1,23.1,30.44285714285714,42.919047619047625,2026-09-24,20
2026-09-24 21:00:00,26.2,79,981.8,6.9,28.3,64.5,20.2,30.25,42.25454545454546,2026-09-24,21
2026-09-24 22:00:00,25.7,81,981.3,5.4,26.5,58.9,20.9,30.05217391304348,41.56956521739131,2026-09-24,22
2026-09-24 23:00:00,25.2,83,980.9,3.8,25.1,50.2,23.5,29.849999999999998,40.88333333333333,2026-09-24,23
2026-09-25 00:00:00,24.9,85,981.2,2.3,25.2,43.8,25.7,29.766666666666666,39.1875,2026-09-25,0
2026-09-25 01:00:00,24.9,85,981.7,1.5,29.7,44.4,27.1,29.691666666666666,37.775,2026-09-25,1
2026-09-25 02:00:00,25.8,79,982.2,1.5,29.0,40.9,28.1,29.633333333333336,36.4125,2026-09-25,2
2026-09-25 03:00:00,27.3,70,982.6,0.8,25.3,35.7,27.4,29.591666666666665,35.35,2026-09-25,3
2026-09-25 04:00:00,28.9,62,982.7,1.5,21.8,33.8,23.8,29.5625,34.612500000000004,2026-09-25,4
2026-09-25 05:00:00,30.6,55,982.1,1.4,20.7,38.4,18.5,29.554166666666664,33.92916666666667,2026-09-25,5
2026-09-25 06:00:00,32.1,49,981.8,0.3,20.3,35.9,14.1,29.53333333333333,33.208333333333336,2026-09-25,6
2026-09-25 07:00:00,33.3,45,981.0,0.7,22.9,37.7,11.0,29.520833333333332,32.57083333333333,2026-09-25,7
2026-09-25 08:00:00,34.2,40,980.0,1.2,26.5,40.4,8.9,29.520833333333332,32.1,2026-09-25,8
2026-09-25 09:00:00,34.6,38,979.0,3.8,28.3,41.1,8.7,29.516666666666666,31.629166666666663,2026-09-25,9
2026-09-25 10:00:00,34.5,37,978.6,7.0,30.0,41.7,11.8,29.495833333333334,31.274999999999995,2026-09-25,10
2026-09-25 11:00:00,33.7,40,978.4,8.7,31.3,43.9,16.9,29.458333333333332,30.979166666666668,2026-09-25,11
2026-09-25 12:00:00,32.5,44,978.4,8.2,32.7,42.4,21.5,29.420833333333334,30.645833333333332,2026-09-25,12
2026-09-25 13:00:00,31.7,48,978.5,4.0,36.4,55.9,25.0,29.4375,30.283333333333335,2026-09-25,13
2026-09-25 14:00:00,31.0,53,978.8,2.3,33.1,65.9,27.9,29.47083333333333,29.78333333333333,2026-09-25,14
2026-09-25 15:00:00,30.3,54,979.4,4.9,28.4,70.1,30.2,29.4875,29.191666666666666,2026-09-25,15
2026-09-25 16:00:00,29.5,60,979.8,4.6,25.2,67.3,31.6,29.49166666666667,28.566666666666666,2026-09-25,16
2026-09-25 17:00:00,28.9,64,979.6,2.6,23.9,61.7,32.2,29.5,27.94583333333333,2026-09-25,17
2026-09-25 18:00:00,28.4,68,979.5,2.0,22.1,56.0,32.2,29.5125,27.341666666666665,2026-09-25,18
2026-09-25 19:00:00,28.0,67,979.4,5.6,20.4,51.1,31.1,29.537499999999998,26.82083333333333,2026-09-25,19
2026-09-25 20:00:00,26.9,74,978.9,7.2,19.5,43.4,29.4,29.545833333333334,26.35833333333333,2026-09-25,20
2026-09-25 21:00:00,25.9,79,978.7,5.6,19.4,37.3,29.0,29.53333333333333,25.9875,2026-09-25,21
2026-09-25 22:00:00,25.4,81,978.4,5.7,20.7,35.3,31.3,29.520833333333332,25.745833333333334,2026-09-25,22
2026-09-25 23:00:00,25.0,82,978.4,6.3,23.2,36.2,34.9,29.512500000000003,25.666666666666668,2026-09-25,23
2026-09-26 00:00:00,24.8,83,978.3,4.4,24.5,34.6,37.6,29.508333333333336,25.637500000000003,2026-09-26,0
2026-09-26 01:00:00,24.6,84,978.4,5.0,25.5,31.9,38.6,29.495833333333334,25.462500000000002,2026-09-26,1
2026-09-26 02:00:00,25.3,79,978.6,4.8,26.8,30.3,38.7,29.474999999999998,25.370833333333334,2026-09-26,2
2026-09-26 03:00:00,27.2,71,979.0,5.4,24.9,26.4,37.6,29.470833333333335,25.354166666666668,2026-09-26,3
2026-09-26 04:00:00,29.6,62,979.2,3.4,25.4,25.7,34.9,29.5,25.504166666666663,2026-09-26,4
2026-09-26 05:00:00,30.4,59,979.2,4.5,26.1,26.1,31.1,29.49166666666667,25.729166666666668,2026-09-26,5
2026-09-26 06:00:00,30.7,57,978.4,8.4,24.6,24.6,27.6,29.433333333333334,25.90833333333333,2026-09-26,6
2026-09-26 07:00:00,29.8,60,977.8,7.6,23.7,23.7,24.5,29.287499999999998,25.941666666666666,2026-09-26,7
2026-09-26 08:00:00,27.3,70,977.5,9.1,21.0,21.1,21.5,29.0,25.712500000000002,2026-09-26,8
2026-09-26 09:00:00,28.8,69,976.7,6.2,18.5,18.6,19.8,28.758333333333336,25.30416666666667,2026-09-26,9
