time,temperature,humidity,pressure,wind_speed,pm2_5,pm10,no2,temp_24h_ma,pm2_5_24h_ma,date,hour
2026-09-24 00:00:00,26.0,94,1003.0,16.8,3.4,4.0,4.2,26.0,3.4,2026-09-24,0
2026-09-24 01:00:00,25.8,96,1004.1,16.7,4.7,5.2,4.5,25.9,4.05,2026-09-24,1
2026-09-24 02:00:00,25.9,94,1004.8,17.0,5.5,6.2,4.8,25.900000000000002,4.533333333333334,2026-09-24,2
2026-09-24 03:00:00,27.0,92,1005.6,13.4,5.9,6.9,4.8,26.175,4.875,2026-09-24,3
2026-09-24 04:00:00,26.2,91,1005.8,15.8,5.4,6.5,4.1,26.18,4.98,2026-09-24,4
2026-09-24 05:00:00,27.8,90,1005.1,12.8,5.4,6.4,3.0,26.45,5.05,2026-09-24,5
2026-09-24 06:00:00,30.1,76,1004.2,15.7,5.1,6.4,2.4,26.97142857142857,5.057142857142857,2026-09-24,6
2026-09-24 07:00:00,29.4,81,1003.1,16.3,5.0,6.2,2.6,27.275,5.05,2026-09-24,7
2026-09-24 08:00:00,27.6,86,1002.7,15.2,5.8,7.0,3.3,27.311111111111114,5.133333333333334,2026-09-24,8
2026-09-24 09:00:00,27.0,90,1002.5,15.2,6.2,7.3,4.0,27.28,5.24,2026-09-24,9
2026-09-24 10:00:00,27.3,90,1002.2,12.7,5.9,7.0,4.8,27.281818181818185,5.300000000000001,2026-09-24,10
2026-09-24 11:00:00,25.6,95,1002.7,14.9,5.1,6.1,5.7,27.141666666666666,5.283333333333333,2026-09-24,11
2026-09-24 12:00:00,25.8,93,1003.1,14.8,5.5,6.6,6.4,27.03846153846154,5.300000000000001,2026-09-24,12
2026-09-24 13:00:00,25.5,95,1003.9,16.2,6.7,8.0,6.7,26.928571428571427,5.3999999999999995,2026-09-24,13
2026-09-24 14:00:00,25.6,94,1004.8,16.5,8.0,9.6,6.8,26.84,5.573333333333333,2026-09-24,14
2026-09-24 15:00:00,25.8,94,1005.3,16.9,8.4,10.2,6.6,26.775,5.75,2026-09-24,15
2026-09-24 16:00:00,25.6,95,1005.6,16.3,7.9,9.8,6.1,26.705882352941178,5.876470588235295,2026-09-24,16
2026-09-24 17:00:00,25.3,96,1005.8,15.4,7.1,8.8,5.4,26.62777777777778,5.944444444444445,2026-09-24,17
2026-09-24 18:00:00,25.4,96,1004.8,17.5,5.6,7.0,4.8,26.563157894736843,5.9263157894736835,2026-09-24,18
2026-09-24 19:00:00,24.9,96,1004.6,16.6,4.8,6.0,4.4,26.48,5.87,2026-09-24,19
2026-09-24 20:00:00,24.7,96,1004.1,15.7,4.4,5.4,4.1,26.395238095238092,5.8,2026-09-24,20
2026-09-24 21:00:00,24.9,96,1003.6,16.4,3.9,4.7,4.0,26.327272727272728,5.713636363636364,2026-09-24,21
2026-09-24 22:00:00,24.9,97,1003.3,16.0,3.5,4.2,4.1,26.26521739130435,5.617391304347826,2026-09-24,22
2026-09-24 23:00:00,25.2,96,1003.6,16.7,3.7,4.4,4.3,26.22083333333333,5.5375000000000005,2026-09-24,23
2026-09-25 00:00:00,25.0,97,1004.3,15.9,4.1,4.6,4.6,26.179166666666664,5.566666666666666,2026-09-25,0
2026-09-25 01:00:00,24.9,96,1005.2,17.5,5.4,5.8,4.9,26.14166666666667,5.595833333333334,2026-09-25,1
2026-09-25 02:00:00,25.5,94,1006.1,19.7,5.0,5.4,5.2,26.125,5.575,2026-09-25,2
2026-09-25 03:00:00,25.8,94,1006.8,18.7,6.4,7.0,5.2,26.075,5.595833333333334,2026-09-25,3
2026-09-25 04:00:00,27.0,88,1006.6,15.0,6.2,7.4,4.5,26.108333333333334,5.629166666666666,2026-09-25,4
2026-09-25 05:00:00,29.0,79,1006.1,21.1,6.4,7.7,3.4,26.15833333333333,5.670833333333333,2026-09-25,5
2026-09-25 06:00:00,27.1,89,1005.1,18.1,6.2,7.3,2.7,26.033333333333335,5.716666666666666,2026-09-25,6
2026-09-25 07:00:00,28.8,82,1003.8,21.8,6.5,8.2,2.6,26.00833333333333,5.779166666666666,2026-09-25,7
2026-09-25 08:00:00,28.9,80,1002.6,21.5,8.0,9.4,2.8,26.0625,5.870833333333334,2026-09-25,8
2026-09-25 09:00:00,29.2,77,1001.8,20.0,8.5,10.2,3.5,26.15416666666667,5.966666666666666,2026-09-25,9
2026-09-25 10:00:00,29.2,78,1001.8,17.8,8.6,10.6,5.0,26.233333333333334,6.079166666666666,2026-09-25,10
2026-09-25 11:00:00,27.3,87,1002.8,16.1,9.0,10.9,6.9,26.304166666666664,6.241666666666667,2026-09-25,11
2026-09-25 12:00:00,26.6,90,1003.5,15.5,10.0,11.7,8.3,26.337500000000002,6.429166666666667,2026-09-25,12
2026-09-25 13:00:00,26.9,89,1004.6,15.6,11.0,12.7,8.7,26.395833333333332,6.608333333333334,2026-09-25,13
2026-09-25 14:00:00,25.9,91,1006.0,15.1,11.6,13.4,8.5,26.40833333333333,6.758333333333334,2026-09-25,14
